MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
1,KSA,1,KSA,443,511,88.21428571,0,6,0,60,10,22,65.353,43.748,0,37.247,0,0,10.24107143,82.35385714,403,36.78571429,15.64285714,5,-1,2018
1,RUS,1,RUS,240,302,80.35714286,5,13,7,40,22,10,117.963,36.596,0,53.208,0,0,13.21428571,80.6355,438,47.64285714,24.07142857,0,1,2018
2,EGY,2,EGY,308,395,77.97468354,0,8,3,43,12,4,112.1,46.8578,1,65.2422,2,0,9.166227375,82.83042504,336.384,41.33735,19.8147,1,-1,2018
2,URU,2,URU,508,589,86.24787776,1,14,4,57,6,12,111.7,46.914,1,64.786,0,0,9.166227375,82.83042504,336.384,41.33735,19.8147,0,1,2018
3,ESP,3,ESP,677,727,91.85714286,3,12,5,61,10,11,82.935,46.462,0,34.102,0,0,8.258928573,82.92664286,298,43.42857143,18,3,0,2018
3,POR,3,POR,320,366,84.5,3,8,3,39,12,10,102.493,30.1,0,50.057,0,0,8.258928573,83.24485714,267,41,20.07142857,3,0,2018
4,IRN,4,IRN,129,194,73.64285714,0,8,2,36,14,21,79.604,23.346,0,43.111,0,0,9.580357141,83.37214286,374,29,12.5,0,0,2018
4,MAR,4,MAR,371,433,78.28571429,0,13,3,64,22,13,101.062,42.533,0,25.945,0,0,8.589285714,83.24485714,340,47.64285714,20.07142857,0,0,2018
5,AUS,5,AUS,332,390,82.21428571,1,4,1,49,19,14,61.249,39.754,0,46.691,3,0,10.24107143,81.5265,393,35.35714286,15.85714286,1,0,2018
5,FRA,5,FRA,423,484,81.64285714,1,13,5,51,16,19,102.839,39.181,0,39.82,1,0,9.25,82.92664286,345,52.35714286,27.71428571,1,0,2018
6,DEN,6,DEN,282,342,83.85714286,1,10,3,48,18,9,50.186,38.67,0,45.776,0,0,8.589285714,82.863,328,39.07142857,17.85714286,0,1,2018
6,PER,6,PER,334,394,84.35714286,0,18,6,52,10,16,104.2,43.5556,0,60.6444,0,0,9.166227375,82.83042504,336.384,41.33735,19.8147,1,-1,2018
