,MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,possession,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
0,1,MEX,1,MEX,447,561,75.28571429,1,14,5,57,13,17,116.18799999999999,50.923,0,41.044,0,0,10.42857143,80.92857143,1374.0,56.28571429,28.64285714,1,0,2010
1,1,RSA,1,RSA,209,335,64.53846154,1,9,5,43,17,11,118.853,39.796,0,53.838,0,0,12.07692308,79.92307692,1690.0,27.84615385,9.692307692,1,0,2010
2,2,FRA,2,FRA,369,531,69.78571429,0,18,3,50,20,13,101.506,42.821000000000005,4,36.607,3,0,8.928571429,83.14285714,1003.0,56.21428571,28.07142857,0,0,2010
3,2,URU,2,URU,277,434,54.07142857,0,7,3,50,13,20,101.215,35.133,5,43.615,4,1,9.5,82.85714286,926.0,30.21428571,9.857142857000001,0,0,2010
4,3,ARG,3,ARG,446,597,73.14285714,1,20,7,59,7,8,95.427,43.46,0,34.742,0,0,7.642857143,85.5,851.0,45.14285714,20.71428571,0,1,2010
5,3,NGA,3,NGA,231,367,62.35714286,0,11,1,41,8,7,93.54899999999999,32.891999999999996,0,43.966,0,0,6.928571429,86.35714286,737.0,38.71428571,16.71428571,1,-1,2010
6,4,GRE,4,GRE,340,500,65.57142857,0,6,2,50,12,12,105.61200000000001,43.471000000000004,0,44.931999999999995,0,0,8.785714286000001,83.28571429,945.0,46.35714286,20.64285714,2,-1,2010
7,4,KOR,4,KOR,333,499,60.35714286,2,18,7,50,14,11,108.831,45.395,0,45.653999999999996,0,0,11.21428571,79.14285714,1073.0,39.0,15.42857143,0,1,2010
8,5,ENG,5,ENG,339,487,73.14285714,1,18,8,58,12,11,108.154,40.736,0,36.078,0,0,9.142857142999999,82.78571429,949.0,42.92857143,19.21428571,1,0,2010
9,5,USA,5,USA,218,376,59.15384615,1,13,4,42,14,10,107.51799999999999,34.834,0,42.356,0,0,9.0,82.76923077,850.0,39.84615385,15.0,1,0,2010
10,6,ALG,6,ALG,343,479,67.85714286,0,11,2,52,17,10,99.868,39.244,0,41.886,0,0,8.428571429,83.42857143,855.0,40.21428571,15.35714286,1,-1,2010
11,6,SVN,6,SVN,398,537,70.07142857,1,7,4,48,10,16,106.275,43.271,0,43.513000000000005,0,0,8.428571429,83.57142857,902.0,44.42857143,16.85714286,0,1,2010
12,7,AUS,7,AUS,384,530,69.14285714,0,10,2,32,19,7,113.59299999999999,40.715,0,51.565,0,0,11.71428571,78.14285714,1213.0,41.71428571,14.64285714,4,-1,2010
13,7,GER,7,GER,472,616,66.21428571,4,16,10,68,10,18,112.177,48.318000000000005,0,41.157,0,0,9.5,81.78571429,1043.0,42.92857143,14.42857143,0,1,2010
14,8,GHA,8,GHA,339,466,65.5,1,16,3,50,15,8,97.69200000000001,37.208,0,44.321000000000005,0,0,8.357142857000001,84.35714286,937.0,36.42857143,12.42857143,0,1,2010
15,8,SRB,8,SRB,325,454,68.71428571,0,13,2,50,10,15,94.15,41.373999999999995,0,36.933,0,0,7.357142857,85.35714286,764.0,38.71428571,14.35714286,1,-1,2010
16,9,DEN,9,DEN,252,374,62.57142857,0,10,3,41,20,9,101.85600000000001,34.01,2,44.36,1,0,7.428571429,84.5,772.0,41.57142857,13.78571429,1,-1,2010
17,9,NED,9,NED,460,576,78.07142857,1,18,7,59,13,19,99.86200000000001,41.777,4,33.917,2,0,7.642857143,84.42857143,852.0,43.85714286,14.64285714,0,1,2010
18,10,CMR,10,CMR,341,481,68.07142857,0,11,4,50,29,18,102.958,41.791000000000004,2,33.896,1,0,7.714285714,84.42857143,782.0,49.5,23.28571429,1,-1,2010
19,10,JPN,10,JPN,230,389,50.71428571,1,5,5,50,20,29,109.94,34.314,4,46.183,1,0,9.857142857000001,81.64285714,971.0,31.71428571,12.28571429,0,1,2010
20,11,ITA,11,ITA,427,611,70.85714286,1,10,5,53,15,15,107.53,43.988,0,40.391999999999996,0,0,9.785714286000001,82.35714286,1106.0,44.85714286,20.0,1,0,2010
21,11,PAR,11,PAR,300,475,59.21428571,1,8,1,47,15,13,108.615,39.039,0,46.516000000000005,0,0,9.785714286000001,82.0,1140.0,38.92857143,13.35714286,1,0,2010
22,12,NZL,12,NZL,286,421,68.0,1,8,2,42,17,14,107.50200000000001,40.510999999999996,0,40.535,0,0,8.615384615,83.0,956.0,42.61538462,16.38461538,1,0,2010
23,12,SVK,12,SVK,248,407,51.64285714,1,13,3,58,15,17,105.76100000000001,38.260999999999996,0,40.37,0,0,8.785714286000001,83.07142857,817.0,39.07142857,12.92857143,1,0,2010
24,13,CIV,13,CIV,350,458,71.14285714,0,5,1,47,18,12,105.125,44.356,0,46.11600000000001,0,0,9.285714286000001,82.42857143,1036.0,40.35714286,18.14285714,0,0,2010
25,13,POR,13,POR,430,543,77.42857143,0,7,2,53,13,16,109.76299999999999,47.925,0,47.255,0,0,10.28571429,80.0,970.0,41.0,16.64285714,0,0,2010
26,14,BRA,14,BRA,595,715,79.64285714,2,26,10,61,9,9,103.404,52.339,3,34.769,1,0,9.642857142999999,81.78571429,896.0,52.07142857,24.5,1,1,2010
27,14,PRK,14,PRK,239,362,66.16666667,1,11,3,39,10,9,103.729,34.04,1,55.283,0,0,8.833333332999999,82.08333333,824.0,26.33333333,9.833333332999999,2,-1,2010
28,15,CHI,15,CHI,383,526,69.35714286,1,20,5,57,21,15,86.72200000000001,38.044000000000004,4,27.596,2,0,9.785714286000001,82.71428571,793.0,40.07142857,17.21428571,0,1,2010
29,15,HON,15,HON,201,347,57.07142857,0,7,2,43,15,20,100.554,30.584,2,45.868,1,0,8.714285713999999,83.35714286,951.0,40.5,15.42857143,1,-1,2010
30,16,ESP,16,ESP,527,683,69.07142857,0,24,8,67,8,19,104.26799999999999,51.81100000000001,2,27.581,0,0,12.14285714,79.42857143,1323.0,61.71428571,29.0,1,-1,2010
