MATCH,TEAM,match,team,passes completed,total passes,passes acc,goals for,total shots,on-target,fouls committed,fouls suffered,distance,distance poss,offsides,distance not poss,yellow,red,high intensity,low intensity,sprints,time opp half,time opp third,goals_against,WDL,year
1,BRA,1,BRA,433,566,67.78571428571429,3.0,14.0,9.0,5.0,20.0,102.09199999999998,40566,1.0,31480,2.0,0.0,9.571428571428571,83.28571428571429,329.0,49.142857142857146,27.928571428571427,1,1,2018
1,CRO,1,CRO,284,410,67.07692307692308,1.0,10.0,4.0,21.0,5.0,109.16400000000002,32441,0.0,45832,2.0,0.0,9.461538461538462,82.0,334.0,33.46153846153846,15.076923076923077,3,-1,2018
2,CMR,2,CMR,284,391,70.38461538461539,0.0,10.0,4.0,12.0,9.0,100.065,27962,3.0,38934,1.0,0.0,7.538461538461538,85.92307692307692,318.0,41.61538461538461,19.615384615384617,1,-1,2018
2,MEX,2,MEX,484,598,74.64285714285714,1.0,9.0,5.0,11.0,11.0,104.43499999999999,38438,5.0,30042,1.0,0.0,9.357142857142858,83.0,320.0,44.07142857142857,18.0,0,1,2018
3,ESP,3,ESP,566,680,80.64285714285714,1.0,9.0,6.0,5.0,17.0,102.03700000000002,39998,0.0,34605,0.0,0.0,8.071428571428571,84.21428571428571,340.0,47.0,19.071428571428573,5,-1,2018
3,NED,3,NED,318,425,73.71428571428571,5.0,13.0,11.0,18.0,4.0,109.38100000000001,36945,0.0,43749,0.0,0.0,9.5,82.14285714285714,384.0,35.0,12.928571428571429,1,1,2018
4,AUS,4,AUS,324,434,72.07142857142857,1.0,13.0,6.0,18.0,8.0,115.89,32605,1.0,54831,3.0,0.0,10.928571428571429,79.28571428571429,388.0,36.857142857142854,15.928571428571429,3,-1,2018
4,CHI,4,CHI,615,729,82.0,3.0,11.0,9.0,9.0,18.0,113.54999999999998,50997,1.0,33257,1.0,0.0,10.714285714285714,80.57142857142857,475.0,49.57142857142857,21.0,1,1,2018
5,COL,5,COL,328,430,74.57142857142857,3.0,12.0,8.0,19.0,14.0,107.61600000000001,36943,0.0,41128,0.0,0.0,9.571428571428571,82.64285714285714,366.0,37.857142857142854,16.642857142857142,0,1,2018
5,GRE,5,GRE,377,501,75.28571428571429,0.0,12.0,7.0,14.0,17.0,104.85099999999997,39888,0.0,36408,0.0,0.0,9.214285714285714,83.14285714285714,325.0,44.285714285714285,21.5,3,-1,2018
6,CIV,6,CIV,456,570,77.71428571428571,2.0,20.0,10.0,12.0,13.0,97.22499999999998,39681,3.0,31274,2.0,0.0,7.714285714285714,85.85714285714286,299.0,44.92857142857143,19.857142857142858,1,1,2018
6,JPN,6,JPN,326,456,69.78571428571429,1.0,7.0,4.0,13.0,11.0,108.251,33787,1.0,46252,2.0,0.0,8.928571428571429,82.71428571428571,403.0,40.142857142857146,15.714285714285714,2,-1,2018
7,CRC,7,CRC,313,443,62.142857142857146,3.0,12.0,4.0,18.0,20.0,108.605,31894,0.0,34327,0.0,0.0,8.571428571428571,83.57142857142857,306.0,43.5,20.642857142857142,1,1,2018
7,URU,7,URU,387,513,74.21428571428571,1.0,9.0,5.0,20.0,18.0,104.25800000000001,32419,0.0,30920,0.0,0.0,8.642857142857142,83.35714285714286,275.0,42.357142857142854,17.214285714285715,3,-1,2018
8,ENG,8,ENG,467,544,85.07142857142857,1.0,18.0,8.0,8.0,12.0,107.25200000000001,40389,0.0,45937,0.0,0.0,8.214285714285714,83.78571428571429,301.0,52.142857142857146,28.428571428571427,2,-1,2018
8,ITA,8,ITA,606,679,85.92857142857143,2.0,12.0,5.0,12.0,8.0,110.458,45973,0.0,43791,0.0,0.0,9.0,82.14285714285714,301.0,30.571428571428573,12.642857142857142,1,1,2018
9,ECU,9,ECU,266,376,70.61538461538461,1.0,10.0,6.0,15.0,9.0,98.91600000000001,29591,0.0,40456,0.0,0.0,7.769230769230769,85.53846153846153,306.0,36.23076923076923,16.153846153846153,2,-1,2018
9,SUI,9,SUI,468,583,78.46153846153847,2.0,18.0,12.0,9.0,14.0,113.628,45034,0.0,36512,0.0,0.0,10.153846153846153,81.07692307692308,397.0,49.61538461538461,25.076923076923077,1,1,2018
10,FRA,10,FRA,624,717,84.07142857142857,2.0,20.0,10.0,13.0,12.0,108.179,49888,1.0,29480,3.0,0.0,9.571428571428571,81.92857142857143,338.0,59.714285714285715,32.142857142857146,0,1,2018
10,HON,10,HON,251,347,73.5,0.0,4.0,2.0,14.0,13.0,98.773,25456,2.0,47572,2.0,0.0,8.428571428571429,83.85714285714286,320.0,19.285714285714285,5.071428571428571,2,-1,2018
11,ARG,11,ARG,536,637,80.35714285714286,1.0,11.0,5.0,10.0,13.0,105.432,42545,0.0,38247,1.0,0.0,9.428571428571429,82.42857142857143,337.0,40.5,16.0,1,0,2018
11,BIH,11,BIH,392,498,76.35714285714286,1.0,16.0,11.0,14.0,9.0,115.488,40018,3.0,49120,1.0,0.0,10.571428571428571,79.71428571428571,388.0,40.642857142857146,18.642857142857142,1,0,2018
12,IRN,12,IRN,192,309,63.92307692307692,0.0,7.0,3.0,18.0,14.0,108.28900000000002,27491,0.0,46087,0.0,0.0,9.615384615384615,81.92307692307692,363.0,27.384615384615383,10.23076923076923,0,0,2018
12,NGA,12,NGA,464,602,73.71428571428571,0.0,10.0,6.0,16.0,18.0,100.10400000000001,40970,0.0,27237,0.0,0.0,7.928571428571429,84.57142857142857,330.0,50.92857142857143,24.928571428571427,0,0,2018
13,GER,13,GER,483,588,81.28571428571429,4.0,13.0,9.0,8.0,11.0,111.65100000000002,42722,2.0,39835,0.0,0.0,9.571428571428571,81.35714285714286,318.0,38.642857142857146,17.571428571428573,0,1,2018
13,POR,13,POR,391,491,79.21428571428571,0.0,14.0,9.0,11.0,8.0,101.868,34396,1.0,41538,1.0,1.0,8.928571428571429,82.71428571428571,306.0,38.92857142857143,15.714285714285714,4,-1,2018
14,GHA,14,GHA,445,588,74.85714285714286,1.0,21.0,8.0,10.0,12.0,110.574,42245,0.0,30455,0.0,0.0,9.071428571428571,83.0,418.0,52.214285714285715,25.428571428571427,2,-1,2018
14,USA,14,USA,281,429,65.42857142857143,2.0,8.0,7.0,12.0,10.0,116.978,31301,0.0,46071,0.0,0.0,9.285714285714286,82.0,410.0,31.214285714285715,12.571428571428571,1,1,2018
